Year,Film,C?,Bathtub,#B,Shower,#S,Other,Bathtub Actress 1,Bathtub Actress 2,Bathtub Actress 3,Bathtub Actress 4,Bathtub Actor 1,Bathtub Actor 2,Shower Actress 1,Shower Actress 2,Shower Actress 3,Shower Actor 1,Shower Actor 2,Shower Actor 3,Other Actress,Other Actor,M/F Bathtub Solo?,Bathtub Together?,Shower Togther?,M/F Shower Solo,Other Together?,Notes,Script,script_id,imdb_id,gross (inflation-adjusted),Notes
1999,House on Haunted Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/house-on-haunted-hill.html,4378,tt0185371,69,
1999,Bringing Out the Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Bringing-Out-the-Dead.html,776,tt0163988,28,
1999,Stir of Echoes,,Bathtub,1,,,,,,,,Zachary David Cope,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Stir-of-Echoes.html,1373,tt0164181,36,
1999,Detroit Rock City,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Detroit Rock City Script.html,2150,tt0165710,7,
1999,The Limey,,Bathtub,1,,,,Amelia Heinle,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Limey, The Script.html",2772,tt0165854,5,
1999,Magnolia,,,,Shower,1,,,,,,,,Melora Walters,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Magnolia Script.html,2821,tt0175880,38,
1999,Music of the Heart,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Music of the Heart Script.html,2968,tt0166943,25,
1999,Galaxy Quest,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.scifiscripts.com/scripts/GalaxyQuest.txt,4256,tt0177789,122,
1999,The Blair Witch Project,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.horrorlair.com/scripts/blairwitch_transcript.html,5531,tt0185937,241,
1999,The Sixth Sense,,,,Shower,1,,,,,,,,Olivia Williams,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Sixth Sense, The Script.html",3352,tt0167404,503,
1999,American Beauty,C,Bathtub,1,Shower,1,,Mena Suvari,,,,,,,,,Kevin Spacey,,,,,,,,,,Spacey masturbates in the shower,http://www.imsdb.com/Movie Scripts/American Beauty Script.html,1615,tt0169547,222,
1999,The Haunting,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Haunting, The Script.html",2497,tt0171363,156,
2000,Nurse Betty,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/nursebetty.html,3024,tt0171580,40,
2000,Gladiator,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Gladiator Script.html,2408,tt0172495,303,
2000,American Psycho,C,Bathtub,1,Shower,1,,Cara Seymour,,,,,,,,,Christian Bale,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/American Psycho Script.html,1639,tt0144084,24,
2000,Cecil B. DeMented,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Cecil B. Demented Script.html,1973,tt0173716,2,
2000,Autumn in New York,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Autumn in New York Script.html,1717,tt0174480,61,
2000,Hollow Man,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Hollow Man Script.html,2548,tt0164052,118,
2000,Charlie's Angels,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Charlie's Angels Script.html,1989,tt0160127,201,
2000,Cast Away,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Cast-Away.html,789,tt0162222,377,
2000,Scream 3,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Scream 3 Script.html,3285,tt0134084,143,
2000,Cherry Falls,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Cherry Falls Script.html,1995,tt0175526,,
2000,Lost Souls,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.horrorlair.com/scripts/lostsouls.txt,4565,tt0160484,27,
2000,Quills,,Asylum ice bath,1,,,,,,,,Geoffrey Rush,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/Quills.txt,4838,tt0180073,11,
2000,The Beach,,,,Shower,1,,,,,,,,,,,Leonardo DiCaprio,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Beach,-The.html",726,tt0163978,64,
2000,State and Main,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/State-and-Main.html,1367,tt0120202,11,
2000,Requiem for a Dream,C,Bathtub,1,,,,Jennifer Connely,,,,,,,,,,,,,,,,,,,,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Requiem_for_a_Dream.HTM,4866,tt0180093,5,
2000,Return to Me,,Bathtub,1,,,,Minnie Driver,,,,,,,,,,,,,,,,,,,,http://www.scifiscripts.com/msol/return_to_me.html,4871,tt0122459,52,
2000,Traffic,,,,Shower,1,,,,,,,,Erika Christensen,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Traffic.html,1423,tt0181865,200,
2000,Almost Famous,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Almost Famous Script.html,1606,tt0181875,52,
2000,X-Men,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/xmenscript0215.pdf,3752,tt0120903,253,
2000,Mission: Impossible II,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Mission Impossible II Script.html,2935,tt0120755,347,
2000,Mission to Mars,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Mission-to-Mars.html,1165,tt0183523,98,
2000,Thirteen Days,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Thirteen-Days.html,1401,tt0146309,55,
2000,High Fidelity,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/High Fidelity Script.html,2536,tt0146882,44,
2000,The Crow: Salvation,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Crow Salvation, The Script.html",2085,tt0132910,,
2000,Reindeer Games,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Reindeer Games Script.html,3190,tt0184858,37,
2000,Wonder Boys,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Wonder Boys Script.html,3740,tt0185014,31,
2000,Frequency,,Bathtub,1,Shower,1,,,,,,Dennis Quaid,,Elizabeth Mitchell,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Frequency Script.html,2331,tt0186151,72,
2000,Space Cowboys,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/Space_Cowboys.pdf,5005,tt0186566,146,
2000,The Patriot,,,,,,,,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Patriot,-The.html",1218,tt0187393,182,
2000,"O Brother, Where Art Thou?",,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/o_brother.html,4730,tt0190590,73,
2000,The Replacements,,,,,,,,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Replacements,-The.html",1274,tt0191397,72,
2000,Pitch Black,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Pitch Black Script.html,3105,tt0134847,63,
2000,Erin Brockovich,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/Erin+Brockovich.txt,4169,tt0195685,203,
2000,Little Nicky,C,Bathtub,1,,,,,,,,Adam Sandler,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Little Nicky Script.html,2785,tt0185431,63,
2000,Final Destination,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Final-Destination.html,915,tt0195714,86,
2000,Next Friday,,,,Shower,1,,,,,,,,,,,Mike Epps,,,,,,,,,,,http://www.dailyscript.com/scripts/Next_Friday.html,2996,tt0195945,92,
2000,What Lies Beneath,C,Bathtub,3,,,,Michelle Pfeiffer,,,,Harrison Ford,,,,,,,,,,M;F (2),,,,,Ford drowning Pfeiffer,http://www.imsdb.com/Movie Scripts/What Lies Beneath Script.html,3694,tt0161081,250,
2000,Love & Basketball,,,,Shower,1,,,,,,,,,,,Omar Epps,,,,,,,,,,,http://www.dailyscript.com/scripts/love_and_basketball.html,2814,tt0199725,44,
2000,Red Planet,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Red-Planet.html,1269,tt0199753,28,
2000,Seven Days to Live,,,,Shower,1,,,,,,,,Amanda Plummer,,,,,,,,,,,,,,http://www.horrorlair.com/scripts/sevendaystolive_1st.html,4938,tt0221928,,
2000,You Can Count on Me,,Bathtub,1,,,,,,,,Mark Ruffalo,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/You Can Count On Me Script.html,3761,tt0203230,14,
2000,Snatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Snatch.html,1339,tt0208092,48,
2000,The Family Man,,,,Shower,1,,,,,,,,Téa Leoni,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Family Man, The Script.html",2263,tt0218967,122,
2000,Highlander: Endgame,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Highlander-Endgame.html,1008,tt0144964,20,
2000,Get Carter,,Bathtub,1,Shower,1,,Rhona Mitra,,,,,,,,,Sylvester Stallone,,,,,,,,,,,http://www.dailyscript.com/scripts/Get_Carter.pdf,2380,tt0208988,24,
2000,Unbreakable,,,,Shower,1,,,,,,,,,,,Bruce Willis,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Unbreakable.html,1438,tt0217869,153,
2000,Memento,,,,Shower,2,,,,,,,,Jorja Fox,,,Guy Pierce,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Memento Script.html,2887,tt0209144,41,
2000,Five Feet High and Rising,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/fivefeetandrising.html,4218,tt0240507,,
2000,Bamboozled,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Bamboozled.html,714,tt0215545,3,
2001,Antitrust,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Antitrust Script.html,1669,tt0218817,16,
2001,Human Nature,,Bathtub,1,,,,Patricia Arquette,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Human Nature Script.html,2576,tt0219822,1,
2001,Blow,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Blow Script.html,1863,tt0221027,81,
2001,Kate & Leopold,,Bathtub,1,,,,,,,,Hugh Jackman,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Kate-&-Leopold.html,1213,tt0035423,72,
2001,Birthday Girl,,,,Shower,2,,,,,,,,Nicole Kidman,,,Ben Chaplin,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Birthday Girl Script.html,1831,tt0188453,7,
2001,Ticker,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Ticker.html,1407,tt0196158,,
2001,Angel Eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Angel Eyes Script.html,1655,tt0225071,36,
2001,Amélie,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dropbox.com/sh/jpxh25l44yke4np/AABH96p-Kgs8OPQWiEeNHczsa/AMELIE%20%282001%29%20%5BAKA%20Le%20fabuleux%20destin%20d%27Am%C3%A9lie%20Poulain%5D%20Guillaume%20Laurant%20%26%20Jean-Pierre%20Jeunet%20%5BTranslated%5D.pdf?dl=0,5803,tt0211915,51,
2001,Happy Campers,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/happy-campers_early.html,4328,tt0210094,,
2001,Pearl Harbor,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Pearl-Harbor.html,1219,tt0213149,305,
2001,The Shipping News,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Shipping News, The Script.html",3327,tt0120824,17,
2001,A.I. Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,https://indiegroundfilms.files.wordpress.com/2014/01/a-i.pdf,8682,tt0212720,120,
2001,Made,,Bathtub,1,,,,,,,,Vince Vaughn,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/Made.txt,4572,tt0227005,8,
2001,Bones,,Bathtub,1,,,,Katharine Isabelle,,,,,,,,,,,,,,,,,,,,http://www.horrorlair.com/HorrorWorld/newyork/bones.html,1879,tt0166110,11,
2001,Save the Last Dance,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Save-the-Last-Dance.html,1295,tt0206275,139,
2001,The Lord of the Rings: The Fellowship of the Ring,,,,,,,,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Lord-of-the-Rings-Fellowship-of-the-Ring,-The.html",1115,tt0120737,482,
2001,Training Day,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/Training_Day.pdf,3589,tt0139654,117,
2001,Jurassic Park III,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Jurassic-Park-III.html,1062,tt0163025,278,
2001,15 Minutes,,,,Shower,1,,,,,,,,Vera Farmiga,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/15-Minutes.html,623,tt0179626,37,
2001,Sweet November,C,Bathtub,1,,,,Charlize Theron,,,,Keanu Reeves,,,,,,,,,,,Together,,,,,http://www.dailyscript.com/scripts/sweet_november.pdf,5086,tt0230838,38,
2001,Jason X,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/jason_x_shooting.html,2664,tt0211443,19,
2001,Ocean's Eleven,,,,,,Jacuzzi,,,,,,,,,,,,,,Carl Reiner,,,,,,,http://www.imsdb.com/Movie Scripts/Ocean's Eleven Script.html,3029,tt0240772,281,
2001,Monkeybone,,Bathtub,1,,,,Bridget Fonda,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Monkeybone.html,1166,tt0166276,8,
2001,American Outlaws,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/American_Outlaws.html,1634,tt0244000,20,
2001,Ghost World,,,,Shower,1,,,,,,,,Thora Birch,,,Brad Renfro,,,,,,,Together,,,,http://www.imsdb.com/Movie Scripts/Ghost World Script.html,2399,tt0162346,9,
2001,Swordfish,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/swordfish.pdf,3490,tt0244244,107,
2001,Donnie Darko,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/donniedarko.pdf,2177,tt0246578,1,
2001,The Believer,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Believer, The Script.html",1805,tt0247199,0,
2001,In the Bedroom,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/In the Bedroom Script.html,2596,tt0247425,55,
2001,Jay and Silent Bob Strike Back,,Bathtub,1,,,,,,,,Jason Mewes,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Jay and Silent Bob Strike Back Script.html,2673,tt0261392,46,
2001,Ali,,,,Shower,1,,,,,,,,,,,Will Smith,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Ali.html,653,tt0248667,89,
2001,Vanilla Sky,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Vanilla-Sky.html,1447,tt0259711,155,
2001,Storytelling,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Storytelling Script.html,3455,tt0250081,1,
2001,Sugar & Spice,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Sugar and Spice Script.html,3463,tt0186589,20,
2001,Legally Blonde,C,,,,,Jacuzzi,,,,,,,,,,,,,Reese Witherspoon,,,,,,,,film_20100519/all_imsdb_05_19_10/Legally-Blonde.html,1093,tt0250494,146,
2001,Monster's Ball,C,Bathtub,1,,,,,,,,Peter Boyle,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/monstersball.pdf,2944,tt0285742,48,
2001,Heist,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Heist.html,1001,tt0252503,,
2001,The Bunker,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.simplyscripts.com/scripts/TheBunker.pdf,3977,tt0252963,,
2001,Mulholland Drive,C,,,Shower,1,,,,,,,,Laura Harring,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Mulholland Drive Script.html,2962,tt0166924,11,
2001,The Anniversary Party,,Bathtub,1,,,,Jennifer Jason Leigh,,,,Alan Cumming,,,,,,,,,,,Together,,,,,http://www.dailyscript.com/scripts/anniversaryparty.html,1666,tt0254099,6,
2001,Scary Movie 2,C,Bathtub,1,,,,Anna Faris,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/Scary+Movie+2.txt,4918,tt0257106,109,
2002,The Bourne Identity,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/bourneidentity.html,1902,tt0258463,181,
2002,Catch Me If You Can,,Bathtub,1,,,,,,,,Leonardo DiCaprio,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Catch Me If You Can Script.html,1968,tt0264464,245,
2002,The Time Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/TheTimeMachine.html,3557,tt0268695,84,
2002,The Pianist,,Bathtub,1,,,,,,,,Adrien Brody,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Pianist, The Script.html",3092,tt0253474,48,
2002,Confessions of a Dangerous Mind,,Bathtub,1,,,,Drew Barrymore,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Confessions-of-a-Dangerous-Mind.html,814,tt0270288,,
2002,Star Wars: Episode II - Attack of the Clones,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Star-Wars-Attack-of-the-Clones.html,1360,tt0121765,465,
2002,Eight Legged Freaks,,,,Shower,1,,,,,,,,Scarlett Johansson,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Eight Legged Freaks Script.html,2210,tt0271367,25,
2002,Punch-Drunk Love,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Punch-Drunk-Love.html,1253,tt0272338,26,
2002,Gangs of New York,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Gangs-of-New-York.html,942,tt0217505,116,
2002,Hellraiser: Hellseeker,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.horrorlair.com/scripts/hellraiser_hellseeker_orig.html,2529,tt0274546,,
2002,Blade II,,,,Shower,1,,,,,,,,,,,Wesley Snipes,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Blade II Script.html,1846,tt0187738,122,
2002,Possession,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/Possession1.pdf,4812,tt0256276,15,
2002,John Q,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/John-Q.html,1060,tt0251160,106,
2002,Minority Report,,Ice bath,1,,,,,,,,Tom Cruise,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/MINORITY_REPORT_--_May_16th_2001_revised_draft_by_Scott_Frank.html,2924,tt0181689,197,
2002,Enough,,,,Shower,1,,,,,,,,,,,Billy Campbell,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Enough Script.html,2226,tt0278435,58,
2002,The Lord of the Rings: The Two Towers,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Lord-of-the-Rings-The-Two-Towers.html,1116,tt0167261,509,
2002,Halloween: Resurrection,,,,Shower,1,,,,,,,,Daisy McCrackin,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/Halloween8_shooting.pdf,4319,tt0220506,45,
2002,Insomnia,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Insomnia Script.html,2619,tt0278504,100,
2002,Resident Evil,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/resevil.html,3204,tt0120804,59,
2002,The Good Girl,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Good Girl, The Script.html",2426,tt0279113,20,
2002,A Walk to Remember,,,,,,,,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Walk-to-Remember,-A.html",1455,tt0281358,61,
2002,Signs,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Signs.html,1325,tt0286106,341,
2002,Ghost Ship,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Ghost Ship Script.html,2396,tt0288477,45,
2002,Analyze That,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Analyze-That.html,678,tt0289848,48,
2002,The Rules of Attraction,,Bathtub,1,,,,Theresa Wayman,,,,,,,,,,,,,,,,,,,Wayman slits wrists and dies in tub,http://www.dailyscript.com/scripts/The_Rules_Of_Attraction.pdf,4899,tt0292644,9,
2002,Panic Room,C,Bathtub,1,,,,Jodie Foster,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Panic-Room.html,1215,tt0258000,142,
2002,xXx,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/xXx.html,1497,tt0295701,211,
2002,Far from Heaven,,,,,,,,,,,,,,,,,,,,,,,,,,,http://sfy.ru/pdf/far_from_heaven_(2002).pdf,4199,tt0297884,23,
2002,25th Hour,,Bathtub,1,,,,Rosario Dawson,,,,Edward Norton,,,,,,,,,,,Together,,,,,film_20100519/all_imsdb_05_19_10/25th-Hour.html,630,tt0307901,19,
2002,Slash,,,,Shower,1,,,,,,,,Nina Wassung,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/Slash.txt,4968,tt0301848,,
2002,Blood Work,,,,,,,,,,,,,,,,,,,,,,,,,,,http://indiegroundfilms.files.wordpress.com/2013/08/blood-work-mar-9-98-numbered-1st-revised.pdf,8744,tt0309377,39,
2002,Phone Booth,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Phone Booth Script.html,3089,tt0183649,69,
2003,Jeepers Creepers II,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.horrorlair.com/scripts/jeepers2.pdf,4453,tt0301470,50,
2003,American Splendor,,,,Shower,1,,,,,,,,,,,Paul Giamatti,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/American Splendor Script.html,1643,tt0305206,8,
2003,Grand Theft Parsons,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Grand Theft Parsons Script.html,2440,tt0338075,,
2003,Bad Santa,,Bathtub,1,,,,,,,,Billy Bob Thornton,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Bad Santa Script.html,1744,tt0307987,86,
2003,Lost in Translation,,Bathtub,2,Shower,1,,Scarlett Johansson,,,,Bill Murray,,,,,Bill Murray,,,,,M;F,,,,,,http://www.dailyscript.com/scripts/lost-in-translation-script.html,2812,tt0335266,64,
2003,Confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/CONFIDENCE.pdf,2050,tt0310910,17,
2003,The Life of David Gale,,,,,,,,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Life-of-David-Gale,-The.html",1100,tt0289992,28,
2003,Crime Spree,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Crime-Spree.html,830,tt0310924,,
2003,Master and Commander: The Far Side of the World,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Master and Commander Script.html,2865,tt0311113,135,
2003,Gothika,,Bathtub,1,Shower,1,,,,,Halle Berry,,,Halle Berry,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Gothika.html,962,tt0348836,85,
2003,Something's Gotta Give,C,,,Shower,1,,,,,,,,Diane Keaton,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Something's-Gotta-Give.html,1346,tt0337741,180,
2003,Bruce Almighty,,Bathtub,1,,,,,,,,Jim Carrey,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Bruce-Almighty.html,781,tt0315327,350,
2003,The Matrix Reloaded,,,,,,,,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Matrix-Reloaded,-The.html",1143,tt0234215,405,
2003,The Hebrew Hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Hebrew Hammer, The Script.html",2510,tt0317640,,
2003,Shortcut to Happiness,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.aellea.com/script/devilanddanielwebster.txt,4107,tt0263265,,
2003,The Italian Job,,,,,,,,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Italian-Job,-The.html",1046,tt0317740,152,
2003,The Lord of the Rings: The Return of the King,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Lord-of-the-Rings-Return-of-the-King.html,1114,tt0167260,543,
2003,The Cooler,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Cooler, The Script.html",2054,tt0318374,11,
2003,Big Fish,,Bathtub,1,,,,Jessica Lange,,,,Albert Finney,,,,,,,,,,,Together,,,,,film_20100519/all_imsdb_05_19_10/Big-Fish.html,740,tt0319061,95,
2003,Malibu's Most Wanted,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Malibu's-Most-Wanted.html,1127,tt0328099,49,
2003,House of 1000 Corpses,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/House-of-1000-Corpses.html,1018,tt0251736,18,
2003,Intolerable Cruelty,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Intolerable-Cruelty.html,1041,tt0138524,50,
2003,Cold Mountain,,Bathtub,1,,,,,,,,Jude Law,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Cold Mountain Script.html,2033,tt0159365,137,
2003,X-Men 2,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.scifiscripts.com/scripts/X-Men_2.pdf,5248,tt0290334,310,
2004,Man on Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Man-On-Fire.html,1128,tt0328107,109,
2004,Burning Annie,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Burning Annie Script.html,1948,tt0307879,,
